Molecule ChEMBL ID,Molecule Name,Smiles,Standard Value,inhibitor
CHEMBL170988,PHENFORMIN,N=C(N)NC(=N)NCCc1ccccc1,16.7,0
CHEMBL446299,NOOTKATONE,C=C(C)[C@@H]1CCC2=CC(=O)C[C@@H](C)[C@]2(C)C1,-72.2,0
CHEMBL34259,METHOTREXATE,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-13.4,0
CHEMBL480,LANSOPRAZOLE,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,-75.7,0
CHEMBL11,IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,16.9,0
CHEMBL121,ROSIGLITAZONE,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,10.0,0
CHEMBL115,INDINAVIR,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,17.8,0
CHEMBL163238,PILSICAINIDE,Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2,10.8,0
CHEMBL572,NITROFURANTOIN,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,23.1,0
CHEMBL386630,TESTOSTERONE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,-175.1,0
CHEMBL46,ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,-8.7,0
CHEMBL1276484,HYGROMYCIN,CN[C@@H]1C[C@H](N)[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@@H]3O[C@@]4(O[C@H]32)O[C@H]([C@H](N)CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]1O,31.5,0
CHEMBL224867,TAUROCHOLATE,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,96.2,1
CHEMBL704,MESALAMINE,Nc1ccc(O)c(C(=O)O)c1,,0
CHEMBL172513,CARNITINE,C[N+](C)(C)CC(O)CC(=O)[O-],15.5,0
CHEMBL1552,GLYCOCHENODEOXYCHOLATE,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,65.3,1
CHEMBL1017,TELMISARTAN,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,94.9,1
CHEMBL1201753,PITAVASTATIN,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,63.7,1
CHEMBL157101,KETOCONAZOLE,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,44.0,0
CHEMBL396298,ELACRIDAR,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,67.2,1
CHEMBL83,TAMOXIFEN,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,11.0,0
CHEMBL490,PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,37.5,0
CHEMBL451532,NARINGIN,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,47.1,0
CHEMBL1480,FELODIPINE,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,21.4,0
CHEMBL131,PREDNISOLONE,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,27.6,0
CHEMBL595,PIOGLITAZONE,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,-9.9,0
CHEMBL151649,PHENETHYLISOTHIOCYANATE,S=C=NCCc1ccccc1,-32.0,0
CHEMBL578,ENALAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,19.7,0
CHEMBL964,DISULFIRAM,CCN(CC)C(=S)SSC(=S)N(CC)CC,15.5,0
CHEMBL108,CARBAMAZEPINE,NC(=O)N1c2ccccc2C=Cc2ccccc21,17.3,0
CHEMBL1467,ALLOPURINOL,O=c1ncnc2[nH][nH]cc1-2,8.4,0
CHEMBL114,SAQUINAVIR,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,11.5,0
CHEMBL103,PROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-362.6,0
CHEMBL193,NIFEDIPINE,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-44.4,0
CHEMBL1624,LEVOTHYROXINE,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,63.7,1
CHEMBL553,ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,93.7,1
CHEMBL1109,SULFAPHENAZOLE,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,17.1,0
CHEMBL223228,EFAVIRENZ,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,43.2,0
CHEMBL23,DILTIAZEM,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,-9.1,0
CHEMBL1751,DIGOXIN,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,32.1,0
CHEMBL13045,CHELERYTHRINE,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,13.1,0
CHEMBL1073,GLIPIZIDE,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,22.0,0
CHEMBL90555,VINCRISTINE,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,13.0,0
CHEMBL6966,VERAPAMIL,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,-62.6,0
CHEMBL640,PROCAINAMIDE,CCN(CC)CCNC(=O)c1ccc(N)cc1,17.8,0
CHEMBL54661,FLUPENTIXOL,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,9.5,0
CHEMBL6466,COUMARIN,O=c1ccc2ccccc2o1,9.3,0
CHEMBL192,SILDENAFIL,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,45.9,0
CHEMBL53463,DOXORUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,49.9,0
CHEMBL116,AMPRENAVIR,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,-3.4,0
CHEMBL1200633,IVERMECTIN,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,39.0,0
CHEMBL1201304,INDOCYANINE GREEN,CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,79.2,1
CHEMBL163,RITONAVIR,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,93.6,1
CHEMBL36506,NOVOBIOCIN,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,85.6,1
CHEMBL660,AMANTADINE,NC12CC3CC(CC(C3)C1)C2,17.0,0
CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,51.4,1
CHEMBL11978,NICOTINYL METHYLAMIDE,CNC(=O)c1cccnc1,14.5,0
CHEMBL1496,ROSUVASTATIN,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,51.2,1
CHEMBL592675,SILYBIN B,COc1cc([C@@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@H]2CO)ccc1O,,0
CHEMBL574431,SULFOBROMOPHTHALEIN,O=C1OC(c2ccc(O)c(S(=O)(=O)O)c2)(c2ccc(O)c(S(=O)(=O)O)c2)c2c(Br)c(Br)c(Br)c(Br)c21,,0
CHEMBL641,ATOMOXETINE,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,16.3,0
CHEMBL1630,AMODIAQUINE HYDROCHLORIDE,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl,43.4,0
CHEMBL441687,GLYCYRRHIZIN,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,28.7,0
CHEMBL44,GENISTEIN,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,67.9,1
CHEMBL22,TRIMETHOPRIM,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,35.1,0
CHEMBL1000,CETIRIZINE,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,29.9,0
CHEMBL1064,SIMVASTATIN,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,47.4,0
CHEMBL408701,TAUROLITHOCHOLIC ACID,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,94.6,1
CHEMBL101,PHENYLBUTAZONE,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,15.1,0
CHEMBL596,FENTANYL,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,11.7,0
CHEMBL885,EMTRICITABINE,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,20.7,0
CHEMBL71,CHLORPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.3,0
CHEMBL1146,CEFAMANDOLE,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,2.7,0
CHEMBL388590,BENZBROMARONE,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,76.3,1
CHEMBL646,TRIAZOLAM,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-20.5,0
CHEMBL1741,CLARITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,5.1,0
CHEMBL672,FENOFIBRATE,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,34.2,0
CHEMBL17157,TERFENADINE,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,3.7,0
CHEMBL27,PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12,10.1,0
CHEMBL2,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,1.0,0
CHEMBL502682,PHALLOIDIN,C[C@@H]1NC(=O)[C@H](C[C@@](C)(O)CO)NC(=O)[C@H]2NC(=O)[C@H](C)NC(=O)[C@@H]3C[C@H](O)CN3C(=O)[C@@H](CSc3[nH]c4ccccc4c32)NC(=O)[C@H]([C@@H](C)O)NC1=O,24.1,0
CHEMBL64,ISONIAZID,NNC(=O)c1ccncc1,23.8,0
CHEMBL405845,FURAFYLLINE,Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2Cc1ccco1,18.1,0
CHEMBL1510,ELETRIPTAN,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,0.4,0
CHEMBL914,FEXOFENADINE,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-5.8,0
CHEMBL30,CIMETIDINE,CN/C(=N/CCSCc1nc[nH]c1C)NC#N,-6.2,0
CHEMBL1371,CHLORZOXAZONE,O=c1[nH]c2cc(Cl)ccc2o1,12.0,0
CHEMBL894,BUPROPION,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,17.0,0
CHEMBL1069,VALSARTAN,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,12.3,0
CHEMBL64391,ITRACONAZOLE,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,59.8,1
CHEMBL485818,BAICALIN,O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,59.1,1
CHEMBL374478,RIFAMPIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,21.2,0
CHEMBL29,BENZYLPENICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,7.6,0
CHEMBL655,MIDAZOLAM,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,22.7,0
CHEMBL1560,CAPTOPRIL,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,39.1,0
CHEMBL113,CAFFEINE,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.2,0
CHEMBL295124,BERBERINE,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,18.5,0
CHEMBL222863,OUABAIN,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,-24.1,0
CHEMBL1484,NICARDIPINE,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,31.8,0
CHEMBL24,ATENOLOL,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,6.8,0
CHEMBL629,AMITRIPTYLINE,CN(C)CCC=C1c2ccccc2CCc2ccccc21,-8.9,0
CHEMBL1566,ACARBOSE,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,0.1,0
CHEMBL450895,NYSTATIN,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/CC/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2,23.4,0
CHEMBL1697724,ESTRADIOL 17B GLUCURONIDE,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,-12.2,0
CHEMBL437765,RIFAMYCIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,74.8,1
CHEMBL311617,,C[n+]1ccc(-c2ccccc2)cc1,2.4,0
CHEMBL411070,GLYCOCHOLIC ACID,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,-9.8,0
CHEMBL1370,BUDESONIDE,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,30.3,0
CHEMBL15177,MK-571,CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,75.2,1
CHEMBL1396,VARENICLINE,c1cnc2cc3c(cc2n1)C1CNCC3C1,27.3,0
CHEMBL84,TOPOTECAN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,-39.2,0
CHEMBL782,TOLBUTAMIDE,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,15.5,0
CHEMBL494753,ESTRONE SULFURIC ACID,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,20.8,0
CHEMBL139,DICLOFENAC,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,19.6,0
CHEMBL258605,GLYCODEOXYCHOLATE,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,53.8,1
CHEMBL897,PROBENECID,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,26.4,0
CHEMBL13,METOPROLOL,COCCc1ccc(OCC(O)CNC(C)C)cc1,30.5,0
CHEMBL41,FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,22.6,0
CHEMBL3542340,ISOSILYBIN B,COc1cc([C@@H]2Oc3ccc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)cc3O[C@H]2CO)ccc1O,,0
CHEMBL2397733,SILYDIANIN,COc1cc([C@H]2[C@H]3C=C([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)[C@H]4[C@@H]2CO[C@@]4(O)C3=O)ccc1O,,0
CHEMBL8145,DAIDZEIN,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,32.0,0
CHEMBL1200692,OLMESARTAN MEDOXOMIL,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-7.9,0
CHEMBL1138,EZETIMIBE,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,-8.9,0
CHEMBL30707,COUMESTROL,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,-41.5,0
CHEMBL1477,CERIVASTATIN,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,40.1,0
